safra,estagio,parcela,dose,bloco,atributo,valor
2023_2024,V6,1,0,1,NDVI,0.509272
2023_2024,V6,1,0,1,GNDVI,0.305187
2023_2024,V6,1,0,1,NDRE,0.0948162
2023_2024,V6,1,0,1,CIrededge,0.212733
2023_2024,V6,1,0,1,SAVI,0.484009
2023_2024,V6,1,0,1,EVI,0.616226
2023_2024,V6,1,0,1,VARI,0.326716
2023_2024,V6,1,0,1,TGI,0.189571
2023_2024,V6,1,0,1,spec_mean,0.386846
2023_2024,V6,1,0,1,spec_std,0.236653
2023_2024,V6,1,0,1,spec_p10,0.12338
2023_2024,V6,1,0,1,spec_p50,0.334245
2023_2024,V6,1,0,1,spec_p90,0.744359
2023_2024,V6,1,0,1,glcm_asm,0.0132203
2023_2024,V6,1,0,1,glcm_contrast,2.74238
2023_2024,V6,1,0,1,glcm_correlation,0.909977
2023_2024,V6,1,0,1,glcm_variance,15.2316
2023_2024,V6,1,0,1,glcm_idm,0.526698
2023_2024,V6,1,0,1,glcm_sum_average,16.0235
2023_2024,V6,1,0,1,glcm_sum_variance,218.534
2023_2024,V6,1,0,1,glcm_sum_entropy,3.36055
2023_2024,V6,1,0,1,glcm_entropy,4.52642
2023_2024,V6,1,0,1,glcm_diff_entropy,1.41939
2023_2024,V6,1,0,1,glcm_imc1,-0.321971
2023_2024,V6,1,0,1,glcm_imc2,0.907719
2023_2024,V6,1,0,1,glcm_mcc,0.911587
2023_2024,V6,1,0,1,glcm_dissimilarity,1.23093
2023_2024,V6,1,0,1,glcm_inertia,2.74238
2023_2024,V6,1,0,1,glcm_cluster_shade,-137.214
2023_2024,V6,1,0,1,glcm_cluster_prominence,7609.69
2023_2024,V6,1,0,1,glcm_homogeneity,0.57289
2023_2024,V6,1,0,1,glcmw3_asm,0.321906
2023_2024,V6,1,0,1,glcmw3_contrast,0.72569
2023_2024,V6,1,0,1,glcmw3_entropy,1.33776
2023_2024,V6,1,0,1,glcmw3_correlation,0.611516
2023_2024,V6,1,0,1,glcmw3_homogeneity,0.737096
2023_2024,V6,1,0,1,glcmw5_asm,0.200731
2023_2024,V6,1,0,1,glcmw5_contrast,0.726964
2023_2024,V6,1,0,1,glcmw5_entropy,1.90272
2023_2024,V6,1,0,1,glcmw5_correlation,0.742125
2023_2024,V6,1,0,1,glcmw5_homogeneity,0.736912
2023_2024,V6,1,0,1,glcmw7_asm,0.150917
2023_2024,V6,1,0,1,glcmw7_contrast,0.727579
2023_2024,V6,1,0,1,glcmw7_entropy,2.22856
2023_2024,V6,1,0,1,glcmw7_correlation,0.789957
2023_2024,V6,1,0,1,glcmw7_homogeneity,0.736733
2023_2024,V6,1,0,1,rgb_glcm_asm,0.0159012
2023_2024,V6,1,0,1,rgb_glcm_contrast,2.37033
2023_2024,V6,1,0,1,rgb_glcm_correlation,0.902384
2023_2024,V6,1,0,1,rgb_glcm_variance,12.1411
2023_2024,V6,1,0,1,rgb_glcm_idm,0.547808
2023_2024,V6,1,0,1,rgb_glcm_sum_average,13.4514
2023_2024,V6,1,0,1,rgb_glcm_sum_variance,149.615
2023_2024,V6,1,0,1,rgb_glcm_sum_entropy,3.28185
2023_2024,V6,1,0,1,rgb_glcm_entropy,4.39815
2023_2024,V6,1,0,1,rgb_glcm_diff_entropy,1.35744
2023_2024,V6,1,0,1,rgb_glcm_imc1,-0.321061
2023_2024,V6,1,0,1,rgb_glcm_imc2,0.902229
2023_2024,V6,1,0,1,rgb_glcm_mcc,0.902931
2023_2024,V6,1,0,1,rgb_glcm_dissimilarity,1.13843
2023_2024,V6,1,0,1,rgb_glcm_inertia,2.37033
2023_2024,V6,1,0,1,rgb_glcm_cluster_shade,13.3344
2023_2024,V6,1,0,1,rgb_glcm_cluster_prominence,5454.19
2023_2024,V6,1,0,1,rgb_glcm_homogeneity,0.589057
2023_2024,V6,1,0,1,rgb_glcmw3_asm,0.330564
2023_2024,V6,1,0,1,rgb_glcmw3_contrast,0.63997
2023_2024,V6,1,0,1,rgb_glcmw3_entropy,1.30877
2023_2024,V6,1,0,1,rgb_glcmw3_correlation,0.536312
2023_2024,V6,1,0,1,rgb_glcmw3_homogeneity,0.754475
2023_2024,V6,1,0,1,rgb_glcmw5_asm,0.207969
2023_2024,V6,1,0,1,rgb_glcmw5_contrast,0.641837
2023_2024,V6,1,0,1,rgb_glcmw5_entropy,1.85413
2023_2024,V6,1,0,1,rgb_glcmw5_correlation,0.692176
2023_2024,V6,1,0,1,rgb_glcmw5_homogeneity,0.753997
2023_2024,V6,1,0,1,rgb_glcmw7_asm,0.157208
2023_2024,V6,1,0,1,rgb_glcmw7_contrast,0.642202
2023_2024,V6,1,0,1,rgb_glcmw7_entropy,2.16094
2023_2024,V6,1,0,1,rgb_glcmw7_correlation,0.756841
2023_2024,V6,1,0,1,rgb_glcmw7_homogeneity,0.753799
