safra,estagio,parcela,dose,bloco,NDVI,GNDVI,NDRE,CIrededge,SAVI,EVI,VARI,TGI,spec_mean,spec_std,spec_p10,spec_p50,spec_p90,glcm_asm,glcm_contrast,glcm_correlation,glcm_variance,glcm_idm,glcm_sum_average,glcm_sum_variance,glcm_sum_entropy,glcm_entropy,glcm_diff_entropy,glcm_imc1,glcm_imc2,glcm_mcc,glcm_dissimilarity,glcm_inertia,glcm_cluster_shade,glcm_cluster_prominence,glcm_homogeneity,glcmw3_asm,glcmw3_contrast,glcmw3_entropy,glcmw3_correlation,glcmw3_homogeneity,glcmw5_asm,glcmw5_contrast,glcmw5_entropy,glcmw5_correlation,glcmw5_homogeneity,glcmw7_asm,glcmw7_contrast,glcmw7_entropy,glcmw7_correlation,glcmw7_homogeneity,rgb_glcm_asm,rgb_glcm_contrast,rgb_glcm_correlation,rgb_glcm_variance,rgb_glcm_idm,rgb_glcm_sum_average,rgb_glcm_sum_variance,rgb_glcm_sum_entropy,rgb_glcm_entropy,rgb_glcm_diff_entropy,rgb_glcm_imc1,rgb_glcm_imc2,rgb_glcm_mcc,rgb_glcm_dissimilarity,rgb_glcm_inertia,rgb_glcm_cluster_shade,rgb_glcm_cluster_prominence,rgb_glcm_homogeneity,rgb_glcmw3_asm,rgb_glcmw3_contrast,rgb_glcmw3_entropy,rgb_glcmw3_correlation,rgb_glcmw3_homogeneity,rgb_glcmw5_asm,rgb_glcmw5_contrast,rgb_glcmw5_entropy,rgb_glcmw5_correlation,rgb_glcmw5_homogeneity,rgb_glcmw7_asm,rgb_glcmw7_contrast,rgb_glcmw7_entropy,rgb_glcmw7_correlation,rgb_glcmw7_homogeneity
2022_2023,V8,d0_b1,0,1,0.65538,-0.117564,0.184991,0.473728,0.450231,0.671783,1.64525,0.277813,0.301222,0.226173,0.0543404,0.242051,0.638039,0.0277759,2.02702,0.941277,17.2594,0.626181,10.3659,117.356,3.27112,4.18994,1.2997,-0.410088,0.940659,0.94709,0.94637,2.02702,290.845,10133.4,0.657072,0.442958,0.5489,1.08834,0.470921,0.799116,0.329126,0.549677,1.56413,0.640894,0.798892,0.273236,0.550132,1.85645,0.726965,0.798685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_2023,V8,d0_b2,0,2,0.670014,-0.151335,0.192548,0.49296,0.46432,0.348153,1.71944,0.312827,0.312576,0.237948,0.0514204,0.248972,0.672046,0.0262445,2.10489,0.939965,17.5308,0.617736,10.7015,122.961,3.28925,4.22572,1.31751,-0.406618,0.940371,0.947486,0.97308,2.10489,259.073,9967.28,0.650261,0.431253,0.567948,1.11697,0.484316,0.79336,0.317745,0.568721,1.60479,0.649969,0.793132,0.263399,0.569009,1.90205,0.732532,0.792994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_2023,V8,d0_b3,0,3,0.669704,-0.132341,0.217652,0.584191,0.461167,-0.6988,1.0647,0.284617,0.307679,0.232908,0.0500621,0.245585,0.659095,0.0271948,1.88389,0.944023,16.8282,0.643483,10.521,117.872,3.28019,4.16314,1.26782,-0.424841,0.945592,0.949558,0.894716,1.88389,295.26,9871.31,0.67194,0.456047,0.518241,1.05601,0.4537,0.807837,0.341465,0.518855,1.51791,0.630335,0.807684,0.284895,0.51918,1.80072,0.721485,0.807592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_2023,V8,d0_b4,0,4,0.657644,-0.150874,0.189835,0.487992,0.468934,-1.20495,1.74539,0.316626,0.331964,0.240317,0.0588877,0.277209,0.69086,0.0243807,2.05721,0.94057,17.3257,0.620262,11.0497,127.227,3.30613,4.2439,1.30617,-0.407319,0.941223,0.946777,0.961456,2.05721,236.094,9727.41,0.651773,0.429401,0.559809,1.11451,0.480894,0.794462,0.314141,0.560624,1.59918,0.651446,0.794208,0.259063,0.5607,1.89407,0.735373,0.794143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_2023,V8,d50_b1,50,1,0.666157,-0.108294,0.213496,0.561981,0.464101,1.64524,1.74176,0.274591,0.300738,0.225835,0.0512201,0.241337,0.638159,0.0283877,1.87237,0.945219,17.0815,0.63937,10.4179,117.715,3.26967,4.15172,1.26682,-0.424067,0.944936,0.951145,0.900685,1.87237,281.491,9998.68,0.668072,0.452364,0.515102,1.06355,0.457447,0.806856,0.338792,0.515754,1.52741,0.629861,0.806665,0.283732,0.516031,1.80938,0.71675,0.806552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_2023,V8,d50_b2,50,2,0.640697,-0.0469465,0.211939,0.558372,0.478087,-0.555949,1.59415,0.261491,0.318033,0.221822,0.0679968,0.267184,0.647707,0.0260318,2.03971,0.94044,17.1337,0.627776,10.5941,120.445,3.28476,4.20856,1.29813,-0.407979,0.940275,0.945726,0.943853,2.03971,283.85,10001.7,0.658057,0.441617,0.552899,1.09073,0.465772,0.800595,0.326536,0.553132,1.56732,0.641086,0.800565,0.270174,0.553493,1.85849,0.730469,0.800431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_2023,V8,d50_b3,50,3,0.678895,-0.112395,0.215621,0.572959,0.481664,1.18308,1.73954,0.29897,0.314638,0.235298,0.0535751,0.25331,0.669859,0.0275723,2.02838,0.943198,17.8583,0.626458,10.7197,124.71,3.28505,4.2039,1.30067,-0.4142,0.942737,0.949517,0.946467,2.02838,262.918,10268,0.657471,0.440356,0.550797,1.09665,0.472041,0.798173,0.327124,0.551331,1.5746,0.640931,0.798011,0.272507,0.551614,1.86597,0.72708,0.797925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_2023,V8,d50_b4,50,4,0.651339,-0.0926498,0.199414,0.513047,0.483369,0.528939,1.58025,0.301163,0.330861,0.233622,0.0651368,0.277504,0.681616,0.023553,2.02567,0.940649,17.0775,0.624681,11.0559,126.292,3.31146,4.24123,1.29862,-0.409638,0.94206,0.946523,0.948617,2.02567,245.732,9531.94,0.655401,0.426926,0.553848,1.1194,0.476593,0.796371,0.310288,0.554334,1.60651,0.651206,0.796202,0.254422,0.554672,1.90144,0.73754,0.796078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_2023,V8,d100_b1,100,1,0.674996,-0.0419936,0.223734,0.594673,0.492054,0.132324,1.59381,0.267911,0.305929,0.223676,0.0578854,0.250174,0.640143,0.0282134,1.93548,0.944903,17.5641,0.634558,10.5857,121.738,3.27762,4.18096,1.2804,-0.418741,0.943808,0.950512,0.918243,1.93548,264.323,10152.8,0.664059,0.450181,0.527033,1.07359,0.458664,0.805566,0.337651,0.52744,1.54098,0.629712,0.805442,0.283445,0.527643,1.82471,0.718455,0.805356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_2023,V8,d100_b2,100,2,0.659551,-0.14191,0.214775,0.57152,0.452929,1.15203,1.86747,0.282603,0.306941,0.230037,0.052256,0.246619,0.653231,0.0289154,1.86244,0.944779,16.8869,0.641084,10.1508,113.22,3.25938,4.13539,1.26318,-0.423104,0.943974,0.949117,0.896554,1.86244,321.232,10156.6,0.669371,0.454139,0.513491,1.05809,0.455341,0.807952,0.339605,0.514246,1.52125,0.630067,0.807756,0.283606,0.514669,1.8031,0.720162,0.807626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
