safra,estagio,familia,atributo,n_parcelas,n_calculados,pct
2022_2023,V8,Índices espectrais,NDVI,24,24,100
2022_2023,V8,Índices espectrais,GNDVI,24,24,100
2022_2023,V8,Índices espectrais,NDRE,24,24,100
2022_2023,V8,Índices espectrais,CIrededge,24,24,100
2022_2023,V8,Índices espectrais,SAVI,24,24,100
2022_2023,V8,Índices espectrais,EVI,24,24,100
2022_2023,V8,Índices espectrais,VARI,24,24,100
2022_2023,V8,Índices espectrais,TGI,24,24,100
2022_2023,V8,Estatísticas espectrais,spec_mean,24,24,100
2022_2023,V8,Estatísticas espectrais,spec_std,24,24,100
2022_2023,V8,Estatísticas espectrais,spec_p10,24,24,100
2022_2023,V8,Estatísticas espectrais,spec_p50,24,24,100
2022_2023,V8,Estatísticas espectrais,spec_p90,24,24,100
2022_2023,V8,GLCM global,glcm_asm,24,24,100
2022_2023,V8,GLCM global,glcm_contrast,24,24,100
2022_2023,V8,GLCM global,glcm_correlation,24,24,100
2022_2023,V8,GLCM global,glcm_variance,24,24,100
2022_2023,V8,GLCM global,glcm_idm,24,24,100
2022_2023,V8,GLCM global,glcm_sum_average,24,24,100
2022_2023,V8,GLCM global,glcm_sum_variance,24,24,100
2022_2023,V8,GLCM global,glcm_sum_entropy,24,24,100
2022_2023,V8,GLCM global,glcm_entropy,24,24,100
2022_2023,V8,GLCM global,glcm_diff_entropy,24,24,100
2022_2023,V8,GLCM global,glcm_imc1,24,24,100
2022_2023,V8,GLCM global,glcm_imc2,24,24,100
2022_2023,V8,GLCM global,glcm_mcc,24,24,100
2022_2023,V8,GLCM global,glcm_dissimilarity,24,24,100
2022_2023,V8,GLCM global,glcm_inertia,24,24,100
2022_2023,V8,GLCM global,glcm_cluster_shade,24,24,100
2022_2023,V8,GLCM global,glcm_cluster_prominence,24,24,100
2022_2023,V8,GLCM global,glcm_homogeneity,24,24,100
2022_2023,V8,GLCM janela w3,glcmw3_asm,24,24,100
2022_2023,V8,GLCM janela w3,glcmw3_contrast,24,24,100
