safra,stage,fid,dose_n,bloco,tag
2223,R2,56,50,4,R2_p56_d50_b4
2223,R2,43,200,3,R2_p43_d200_b3
2223,R2,42,200,3,R2_p42_d200_b3
2223,R2,14,0,1,R2_p14_d0_b1
2223,R2,1,0,1,R2_p01_d0_b1
2223,R2,41,100,3,R2_p41_d100_b3
2223,R2,16,400,2,R2_p16_d400_b2
2223,R2,44,400,3,R2_p44_d400_b3
2223,R2,27,400,2,R2_p27_d400_b2
2223,R2,55,0,4,R2_p55_d0_b4
2223,R2,30,100,3,R2_p30_d100_b3
2223,R2,2,100,1,R2_p02_d100_b1
2223,R2,13,100,1,R2_p13_d100_b1
2223,R2,40,50,3,R2_p40_d50_b3
2223,R2,45,400,3,R2_p45_d400_b3
2223,R2,26,300,2,R2_p26_d300_b2
2223,R2,54,100,4,R2_p54_d100_b4
2223,R2,31,300,2,R2_p31_d300_b2
2223,R2,3,50,1,R2_p03_d50_b1
2223,R2,12,50,1,R2_p12_d50_b1
2223,R2,39,50,3,R2_p39_d50_b3
2223,R2,25,0,2,R2_p25_d0_b2
2223,R2,53,100,4,R2_p53_d100_b4
2223,R2,32,0,2,R2_p32_d0_b2
2223,R2,4,200,1,R2_p04_d200_b1
2223,R2,11,200,1,R2_p11_d200_b1
2223,R2,52,400,4,R2_p52_d400_b4
2223,R2,24,200,2,R2_p24_d200_b2
2223,R2,51,200,4,R2_p51_d200_b4
2223,R2,33,200,2,R2_p33_d200_b2
2223,R2,5,300,1,R2_p05_d300_b1
2223,R2,10,300,1,R2_p10_d300_b1
2223,R2,50,300,3,R2_p50_d300_b3
2223,R2,37,0,3,R2_p37_d0_b3
2223,R2,20,50,2,R2_p20_d50_b2
2223,R2,48,300,3,R2_p48_d300_b3
2223,R2,23,100,2,R2_p23_d100_b2
2223,R2,57,50,4,R2_p57_d50_b4
2223,R2,34,100,2,R2_p34_d100_b2
2223,R2,6,400,1,R2_p06_d400_b1
2223,R2,9,400,1,R2_p09_d400_b1
2223,R2,58,0,4,R2_p58_d0_b4
2223,R2,49,0,3,R2_p49_d0_b3
2223,R2,60,300,4,R2_p60_d300_b4
2223,R2,8,50,2,R2_p08_d50_b2
2223,R2,61,300,4,R2_p61_d300_b4
2223,R2,62,400,4,R2_p62_d400_b4
2223,R2,63,200,4,R2_p63_d200_b4
2223,R5,56,50,4,R5_p56_d50_b4
2223,R5,43,200,3,R5_p43_d200_b3
2223,R5,42,200,3,R5_p42_d200_b3
2223,R5,14,0,1,R5_p14_d0_b1
2223,R5,1,0,1,R5_p01_d0_b1
2223,R5,41,100,3,R5_p41_d100_b3
2223,R5,16,400,2,R5_p16_d400_b2
2223,R5,44,400,3,R5_p44_d400_b3
2223,R5,27,400,2,R5_p27_d400_b2
2223,R5,55,0,4,R5_p55_d0_b4
2223,R5,30,100,3,R5_p30_d100_b3
2223,R5,2,100,1,R5_p02_d100_b1
2223,R5,13,100,1,R5_p13_d100_b1
2223,R5,40,50,3,R5_p40_d50_b3
2223,R5,45,400,3,R5_p45_d400_b3
2223,R5,26,300,2,R5_p26_d300_b2
2223,R5,54,100,4,R5_p54_d100_b4
2223,R5,31,300,2,R5_p31_d300_b2
2223,R5,3,50,1,R5_p03_d50_b1
2223,R5,12,50,1,R5_p12_d50_b1
2223,R5,39,50,3,R5_p39_d50_b3
2223,R5,25,0,2,R5_p25_d0_b2
2223,R5,53,100,4,R5_p53_d100_b4
2223,R5,32,0,2,R5_p32_d0_b2
2223,R5,4,200,1,R5_p04_d200_b1
2223,R5,11,200,1,R5_p11_d200_b1
2223,R5,52,400,4,R5_p52_d400_b4
2223,R5,24,200,2,R5_p24_d200_b2
2223,R5,51,200,4,R5_p51_d200_b4
2223,R5,33,200,2,R5_p33_d200_b2
2223,R5,5,300,1,R5_p05_d300_b1
2223,R5,10,300,1,R5_p10_d300_b1
2223,R5,50,300,3,R5_p50_d300_b3
2223,R5,37,0,3,R5_p37_d0_b3
2223,R5,20,50,2,R5_p20_d50_b2
2223,R5,48,300,3,R5_p48_d300_b3
2223,R5,23,100,2,R5_p23_d100_b2
2223,R5,57,50,4,R5_p57_d50_b4
2223,R5,34,100,2,R5_p34_d100_b2
2223,R5,6,400,1,R5_p06_d400_b1
2223,R5,9,400,1,R5_p09_d400_b1
2223,R5,58,0,4,R5_p58_d0_b4
2223,R5,49,0,3,R5_p49_d0_b3
2223,R5,60,300,4,R5_p60_d300_b4
2223,R5,8,50,2,R5_p08_d50_b2
2223,R5,61,300,4,R5_p61_d300_b4
2223,R5,62,400,4,R5_p62_d400_b4
2223,R5,63,200,4,R5_p63_d200_b4
2223,V11,56,50,4,V11_p56_d50_b4
2223,V11,43,200,3,V11_p43_d200_b3
2223,V11,42,200,3,V11_p42_d200_b3
