sample,parcela,medida,n_veg_pixels,NDVI,NDRE,CIrededge,SAVI,spec_mean,spec_std,spec_p10,spec_p50,spec_p90,glcm_asm,glcm_contrast,glcm_correlation,glcm_variance,glcm_idm,glcm_sum_average,glcm_sum_variance,glcm_sum_entropy,glcm_entropy,glcm_diff_entropy,glcm_imc1,glcm_imc2,glcm_mcc,glcm_dissimilarity,glcm_inertia,glcm_cluster_shade,glcm_cluster_prominence,glcm_homogeneity,glcmw3_asm,glcmw3_contrast,glcmw3_entropy,glcmw3_correlation,glcmw3_homogeneity,glcmw5_asm,glcmw5_contrast,glcmw5_entropy,glcmw5_correlation,glcmw5_homogeneity,glcmw7_asm,glcmw7_contrast,glcmw7_entropy,glcmw7_correlation,glcmw7_homogeneity,phys_CHL_total,phys_N_percent,phys_N_acumulado
R2_d0_b1,1,R2,55449,0.6224949955940247,0.2399837225675583,0.6467751264572144,0.5241134166717529,0.32217198610305786,0.23560118675231934,0.07904095947742462,0.26181453466415405,0.6879723072052002,0.033209236552947136,1.4088149375907377,0.9671516320452707,21.44421512009737,0.6795394529788572,11.135941978542172,146.14201890583828,3.2762999152592465,4.031641774617564,1.164806137561451,-0.4779723003992624,0.9594338449537684,0.9674117185860092,0.7651211985230578,1.4088149375907377,361.13667231186037,13228.621039266258,0.7033908964719872,0.5029899228364549,0.4035788029310206,0.9468175140117003,0.43109563706357007,0.8323388015715285,0.3917757486353418,0.40352200569206803,1.3644571377037358,0.6078367097837899,0.8323495381051591,0.335475193237295,0.40354053295135084,1.6237820439855852,0.6995945035527158,0.8323246970281569,,1.337,70.5936
R2_d50_b1,15,R2,56307,0.6730788350105286,0.2727937400341034,0.7734547853469849,0.5734161138534546,0.32691025733947754,0.2529653012752533,0.06494013220071793,0.2589797079563141,0.7459656596183777,0.030011264052852774,1.4153591851308218,0.9685804960544221,22.523576239540215,0.6825573887567965,12.589394210137515,174.73608246490556,3.3126956221845814,4.073365479426739,1.1617893340479006,-0.4831393325110503,0.961946960275929,0.969446376412113,0.7596229449599265,1.4153591851308218,133.15564456553915,12843.296793032401,0.7053827280249818,0.505321437720029,0.4027222171350931,0.9398182390563246,0.4277988555944676,0.835798582709897,0.3923596521604263,0.40276508070253664,1.3589276604187246,0.6059243458180184,0.8357842050267937,0.3359933694222169,0.4028847053401938,1.61773893002206,0.6926441078321844,0.8357669364446909,,0.833,56.71897
R2_d100_b1,43,R2,56160,0.6925965547561646,0.2984636425971985,0.8896521925926208,0.5815070271492004,0.313865602016449,0.25718674063682556,0.05440380424261093,0.23715832829475403,0.7536107301712036,0.03200473235807273,1.316960763215095,0.9714716802206792,23.08163911022571,0.6989024025502972,12.824277311514324,181.83034734860627,3.294285093743897,4.018313736008912,1.1321446716877652,-0.4980366800016861,0.964568047313664,0.9726468581560719,0.7166810128391081,1.316960763215095,90.65044943675497,13146.094410222113,0.7201110789453598,0.5257709851816497,0.37926928474256183,0.8963404027489363,0.41272744399079675,0.8441883251679545,0.4136500548122711,0.3790934756959269,1.2993411168218034,0.5962291543058313,0.8442101008535126,0.3561031904584042,0.37899455993266495,1.5525683862227957,0.6875424808120917,0.844236386703317,,1.197,123.2112
R2_d200_b1,57,R2,56743,0.7180077433586121,0.32763901352882385,1.024211049079895,0.5973011255264282,0.3044077455997467,0.2602716088294983,0.04895370826125145,0.22523778676986694,0.7496512532234192,0.03227960952372568,1.3092506020669723,0.9715793013074906,23.03339928673654,0.6942777906848142,12.938801529948812,183.7913456859442,3.296861935608444,4.023471378201954,1.1308209457323395,-0.4956503789939253,0.9640746934845855,0.9724648903592348,0.7227652642010054,1.3092506020669723,60.16751255077571,13198.280949192653,0.7152989323821257,0.5224746228235683,0.37584573895802253,0.9018995970710424,0.415286833268935,0.8442131051500801,0.40915914655411056,0.3759187730369425,1.3087908519318574,0.5996842342683457,0.844221588672444,0.35150549927221525,0.3757865017706018,1.5637377107051706,0.6879840261416392,0.8442808959567286,,,0.0
R2_d300_b1,71,R2,56250,0.7520396113395691,0.3582565188407898,1.1687369346618652,0.6351357102394104,0.3130916655063629,0.2700325548648834,0.04709066450595856,0.23558863997459412,0.7806495428085327,0.029436972301997943,1.3956438295009477,0.9693441410886,22.76308475712663,0.6792998926636777,13.959946440512708,203.11550476671297,3.3082419023872034,4.066067702010233,1.1582557819605772,-0.4837020024913561,0.9619209508417921,0.9711134843252825,0.7620888194591797,1.3956438295009477,-112.4876324664416,13161.305100660418,0.7021211180887266,0.5038804929570329,0.3966724428578512,0.9413873478645814,0.43431260958119966,0.835476026305398,0.3892342560881453,0.39678642775245604,1.3621208065427912,0.6198225829554653,0.8354664462140153,0.33122468264796767,0.3967936047975239,1.6260322315149849,0.7088833865020163,0.8354728722372559,,2.443,246.2544
R2_d400_b1,85,R2,56462,0.7291755080223083,0.3430967330932617,1.0923863649368286,0.6156424283981323,0.3106745779514313,0.2598247826099396,0.05080394446849823,0.24023780226707458,0.7578705549240112,0.028670185814466186,1.355314190149513,0.9694391061822025,22.17399461784027,0.681384901872899,13.18987510673318,184.60563659840196,3.3275745476837093,4.079561877551178,1.1482413417154156,-0.48858009072722564,0.9635667250766904,0.9704261625623024,0.7529977939075874,1.355314190149513,18.5185206849751,12595.597335083425,0.7036852137066598,0.5028050295648717,0.38823906322002977,0.9418209606338668,0.43174933723161146,0.8368517260810047,0.3878741164959587,0.38826389724795607,1.3629766966778607,0.6152684587789997,0.8368468794787685,0.33027012891327034,0.3881079880554402,1.624301502884271,0.7026923851500817,0.8369002664025057,,1.827,198.7776000000001
R2_d400_b2,113,R2,55033,0.7010856866836548,0.3185358941555023,0.9921483397483826,0.5932391881942749,0.31496042013168335,0.2563735842704773,0.05245835334062576,0.24570468068122864,0.7602015137672424,0.03133927458044537,1.376771812572066,0.9700021446664278,22.94783739008193,0.6896756861549366,12.802337323723973,180.77194370174809,3.2966881636802827,4.0414810226997595,1.1497864582005624,-0.4855384397689005,0.961813683709305,0.9706283968128651,0.7414530699170023,1.376771812572066,98.73824038349039,12918.10441799237,0.7117613913887366,0.5118791962805329,0.3938619172810014,0.9229966038522761,0.41952097124884963,0.839620725103038,0.39714658233596645,0.39386275162785256,1.337398068941921,0.6068425415303624,0.8396198665718011,0.3385568534579811,0.39391634195811287,1.5961575855951107,0.6991790931783567,0.8396072251021645,,1.988,185.5466666666667
R2_d300_b2,114,R2,56401,0.7456286549568176,0.3608492612838745,1.2162895202636719,0.6348890662193298,0.31397339701652527,0.27025288343429565,0.042091503739356995,0.23647059500217438,0.7881045937538147,0.03095484728747229,1.3656358613300663,0.9707388440392508,23.335302663152426,0.6895485305355478,13.886765885379573,204.20323469916337,3.293010181772765,4.035885147687241,1.147338617740547,-0.4891416641255527,0.9626544047349522,0.9725083894674244,0.7401301131799033,1.3656358613300663,-107.22080138826209,13480.730246170602,0.7114827534250505,0.518564228660193,0.38782782214330624,0.9135104063879713,0.4153285285587179,0.8405207111479869,0.40677854412766495,0.38776380817596967,1.3218112577631067,0.5969096562912903,0.8405563170408512,0.3498878284836269,0.387707184799788,1.5768983062891828,0.6851378818689947,0.8405714557634698,,2.31,213.136
R2_d200_b2,116,R2,56519,0.7352648377418518,0.34062445163726807,1.0997660160064697,0.6208906173706055,0.31245437264442444,0.26612818241119385,0.044386763125658035,0.23530174791812897,0.7720960378646851,0.029769243802146267,1.3536264595575354,0.9703081772200879,22.794600208616895,0.689792964003749,13.643778769069478,196.69012789906813,3.3062087681464893,4.045233910553796,1.1442333036676642,-0.49156432467082045,0.9635290740111795,0.9720076186250477,0.7379369790455946,1.3536264595575354,-55.16543467853063,12911.918968138642,0.7115385269093919,0.513549671326781,0.3884416165033738,0.9222481356105404,0.4211598791826521,0.8404011127276027,0.3998045463958848,0.388531035147312,1.3368445121852277,0.604911446643426,0.8403616634085238,0.34203300066365117,0.3887611015990933,1.596288600814594,0.6919115312420557,0.8403115845962124,,2.044,208.2154666666666
R2_d100_b2,117,R2,56491,0.700044572353363,0.2855141758918762,0.825196385383606,0.5959762334823608,0.3290247619152069,0.26575061678886414,0.05989617854356766,0.2519632577896118,0.7819778919219971,0.033952789636726495,1.4578519012660536,0.9701855132274905,24.44871703315296,0.68667688157962,13.300040026671153,196.94944179953214,3.2694654883897045,4.009271852201103,1.1690766333650617,-0.4882506542318453,0.9617491967000774,0.9719588863035445,0.7585768289963506,1.4578519012660536,13.790407967191527,14057.530459004183,0.709838833391826,0.5153188050084495,0.40809539644626847,0.9239782722630859,0.4258162651773474,0.8371796059064744,0.404171423163441,0.40817282624500684,1.337575051676731,0.6049801524013065,0.8371687707905358,0.3478036432191052,0.4083016777320829,1.596447613010978,0.690963504690461,0.8371229021636415,,0.9309999999999998,74.97653333333332
R2_d50_b2,118,R2,55938,0.6742493510246277,0.2562668025493622,0.7080393433570862,0.5663460493087769,0.3259550929069519,0.2596640884876251,0.0673714131116867,0.24181294441223145,0.7544956207275391,0.03613552846311844,1.5749184787488528,0.9673615710489712,24.12675072434123,0.6724959309183083,12.619867764413488,182.56899088127275,3.2584091995044893,4.0351264199532775,1.203863968728482,-0.4734217864240784,0.9581961610454389,0.9692044300953592,0.801754733636397,1.5749184787488528,90.66964355482207,14013.569764703532,0.6982871100763661,0.5144765753845035,0.427885462362803,0.9356398195903175,0.43415805975000693,0.8316122508895966,0.4086722417968356,0.42790639148263626,1.3525199927546514,0.597446217179201,0.831600708710635,0.3558487556883275,0.42789937025895686,1.6136932219093372,0.6774194791455755,0.8316026558678997,,0.994,68.3872
R2_d0_b2,119,R2,55676,0.6301023960113525,0.2254961133003235,0.5937925577163696,0.5253787040710449,0.3236648440361023,0.2445913553237915,0.07913102209568024,0.2486780732870102,0.7113633751869202,0.03820101045414266,1.597232417147629,0.9643937494073368,22.429101498999337,0.6729324575818227,11.510670690253011,156.55044669170448,3.238350996676565,4.0160396684471085,1.2081363398432754,-0.46579855217910565,0.9553630669235367,0.9653436922660817,0.8050004984178485,1.597232417147629,298.80264669875413,13210.958877555133,0.6989843155626069,0.4982984777772689,0.44358551953837555,0.9674728893736825,0.44164804986174755,0.8259816989778882,0.38720032304416124,0.4435162178286082,1.396634287733818,0.6188234886586209,0.8259764076005451,0.3310435037461434,0.4434907749227066,1.6628565661763208,0.710381845512982,0.8259682247048528,,0.7979999999999999,31.4944
R2_d200_b3,121,R2,56499,0.7393146753311157,0.34716808795928955,1.132178544998169,0.6236969232559204,0.3108784258365631,0.26869478821754456,0.04464060440659523,0.2327868789434433,0.7784363031387329,0.03602212061609617,1.307020974047751,0.9729835349198972,24.189341020078377,0.6949085491231362,13.444756487722067,199.12238140255292,3.2628098027252825,3.9847042396546137,1.1308109637190975,-0.496384243120842,0.9633211454617249,0.9751655727617969,0.7220049768922747,1.307020974047751,-52.31724165518028,14277.168754803304,0.7158886039300139,0.534676814446078,0.3697246050250997,0.8809536161803625,0.4071417060601086,0.8471457948724201,0.42564535278704496,0.36986684879234455,1.278158695481494,0.5831791060839888,0.8471140691718604,0.37020067310723914,0.36996860600181875,1.5275954577963686,0.6674505632031931,0.8470710524802467,,1.603,176.1162666666667
R2_d100_b3,122,R2,56451,0.6913570761680603,0.28184857964515686,0.8137438297271729,0.5803486108779907,0.3177385926246643,0.25926488637924194,0.057803791016340256,0.2406369298696518,0.7556508779525757,0.037775787446664995,1.4600500209147593,0.969562565379327,23.984446111065658,0.6855432363777315,12.606792876012065,182.07048395837106,3.2476930509821575,3.9955463949717007,1.1709032592726405,-0.4837018936152821,0.9601321579181324,0.9715785201547559,0.7611990779054807,1.4600500209147593,97.41091467462513,13931.764174420798,0.7088135481148605,0.5309317224027483,0.40268184814462377,0.9003390206273223,0.41053543058317377,0.8403554219393699,0.4268112283806379,0.40265483661705387,1.300411350753632,0.5760062964943169,0.8403546749873189,0.37476760190021896,0.40257198880817757,1.5495854753934961,0.6569369840218033,0.8403910353786758,,1.057,96.96213333333333
