sample,Biomassa,Produtividade,CHL_total
R2_d0_b1,5280.0,3611.6091954023,
R2_d50_b1,6809.0,6226.848839731078,
R2_d100_b1,10293.33333333333,7427.776020246757,
R2_d200_b1,11466.66666666667,7829.077353215283,
R2_d300_b1,10080.0,7888.039763901832,
R2_d400_b1,10880.0,5697.835766801285,
R2_d400_b2,9333.333333333334,5156.342182890856,
R2_d300_b2,9226.666666666666,7866.053639846744,
R2_d200_b2,10186.66666666667,9722.464206493243,
R2_d100_b2,8053.333333333333,7809.19540229885,
R2_d50_b2,6880.0,3886.053639846744,
R2_d0_b2,3946.666666666667,2791.046581972172,
R2_d200_b3,10986.66666666667,8556.34200443638,
R2_d100_b3,9173.333333333334,7006.03448275862,
R2_d0_b3,4640.0,3460.375075620085,
R2_d400_b3,10400.0,8212.695454074761,
R2_d300_b3,10986.66666666667,9623.665845648606,
R2_d50_b3,5386.666666666667,4343.687985067296,
R2_d300_b4,12053.33333333333,6225.083918217882,
R2_d400_b4,11093.33333333333,7968.954357772569,
R2_d100_b4,9226.666666666666,7151.896551724139,
R2_d50_b4,8160.0,5558.620689655173,
R2_d0_b4,5226.666666666667,3580.229885057471,
R2_d200_b4,8053.333333333333,8197.24923862855,
R5_d0_b1,5333.333333333333,3611.6091954023,33.93
R5_d50_b1,13706.66666666667,6226.848839731078,36.98
R5_d100_b1,17440.0,7427.776020246757,44.14
R5_d200_b1,22133.33333333333,7829.077353215283,49.3
R5_d300_b1,19680.0,7888.039763901832,55.54000000000001
R5_d400_b1,16053.33333333333,5697.835766801285,59.6
R5_d400_b2,16426.66666666666,5156.342182890856,56.88999999999999
R5_d300_b2,16106.66666666667,7866.053639846744,53.77500000000001
R5_d200_b2,15840.0,9722.464206493243,51.98
R5_d100_b2,16053.33333333333,7809.19540229885,37.66363636363637
R5_d50_b2,9920.0,3886.053639846744,30.74
R5_d0_b2,5280.0,2791.046581972172,31.64
R5_d200_b3,20106.66666666667,8556.34200443638,48.78181818181818
R5_d100_b3,15413.33333333333,7006.03448275862,34.02
R5_d0_b3,6880.0,3460.375075620085,31.92222222222223
R5_d400_b3,18666.66666666667,8212.695454074761,56.1
R5_d300_b3,18293.33333333333,9623.665845648606,51.32222222222222
R5_d50_b3,8373.333333333332,4343.687985067296,31.02
R5_d300_b4,16800.0,6225.083918217882,51.49999999999999
R5_d400_b4,18186.66666666667,7968.954357772569,54.60999999999999
R5_d100_b4,12426.66666666667,7151.896551724139,39.78888888888888
R5_d50_b4,13280.0,5558.620689655173,33.96666666666667
R5_d0_b4,7893.333333333333,3580.229885057471,33.62222222222223
R5_d200_b4,22986.66666666667,8197.24923862855,49.38888888888889
V13_d0_b1,2720.0,3611.6091954023,38.2
V13_d50_b1,3840.0,6226.848839731078,38.88333333333334
V13_d100_b1,6026.666666666667,7427.776020246757,49.79166666666666
V13_d200_b1,6346.666666666667,7829.077353215283,47.51666666666667
V13_d300_b1,5333.333333333333,7888.039763901832,46.44166666666666
V13_d400_b1,6080.0,5697.835766801285,49.525
V13_d400_b2,5386.666666666667,5156.342182890856,48.975
V13_d300_b2,5706.666666666667,7866.053639846744,52.925
V13_d200_b2,5066.666666666667,9722.464206493243,51.74166666666667
V13_d100_b2,4640.0,7809.19540229885,49.24166666666667
V13_d50_b2,3306.666666666667,3886.053639846744,38.69166666666667
V13_d0_b2,1653.333333333333,2791.046581972172,37.30833333333334
