safra,stage,phase,fid,dose_n,bloco,ndvi_mean,ndre_mean,cire_mean,npy,png,tag
2023_2024,R2,reprodutivo,1,0,1,0.6135,0.2372,0.6369,npy/R2__p01_d0_b1.npy,reprodutivo/R2__p01_d0_b1.png,R2__p01_d0_b1
2023_2024,R2,reprodutivo,15,50,1,0.672,0.2721,0.7698,npy/R2__p15_d50_b1.npy,reprodutivo/R2__p15_d50_b1.png,R2__p15_d50_b1
2023_2024,R2,reprodutivo,43,100,1,0.6901,0.2972,0.8835,npy/R2__p43_d100_b1.npy,reprodutivo/R2__p43_d100_b1.png,R2__p43_d100_b1
2023_2024,R2,reprodutivo,57,200,1,0.7179,0.3272,1.0205,npy/R2__p57_d200_b1.npy,reprodutivo/R2__p57_d200_b1.png,R2__p57_d200_b1
2023_2024,R2,reprodutivo,71,300,1,0.7523,0.358,1.1658,npy/R2__p71_d300_b1.npy,reprodutivo/R2__p71_d300_b1.png,R2__p71_d300_b1
2023_2024,R2,reprodutivo,85,400,1,0.7292,0.3428,1.0894,npy/R2__p85_d400_b1.npy,reprodutivo/R2__p85_d400_b1.png,R2__p85_d400_b1
2023_2024,R2,reprodutivo,113,400,2,0.6943,0.3154,0.9787,npy/R2__p113_d400_b2.npy,reprodutivo/R2__p113_d400_b2.png,R2__p113_d400_b2
2023_2024,R2,reprodutivo,114,300,2,0.745,0.3602,1.2108,npy/R2__p114_d300_b2.npy,reprodutivo/R2__p114_d300_b2.png,R2__p114_d300_b2
2023_2024,R2,reprodutivo,116,200,2,0.7353,0.3403,1.0963,npy/R2__p116_d200_b2.npy,reprodutivo/R2__p116_d200_b2.png,R2__p116_d200_b2
2023_2024,R2,reprodutivo,117,100,2,0.6998,0.285,0.8224,npy/R2__p117_d100_b2.npy,reprodutivo/R2__p117_d100_b2.png,R2__p117_d100_b2
2023_2024,R2,reprodutivo,118,50,2,0.6725,0.2553,0.7033,npy/R2__p118_d50_b2.npy,reprodutivo/R2__p118_d50_b2.png,R2__p118_d50_b2
2023_2024,R2,reprodutivo,119,0,2,0.6268,0.2244,0.589,npy/R2__p119_d0_b2.npy,reprodutivo/R2__p119_d0_b2.png,R2__p119_d0_b2
2023_2024,R2,reprodutivo,121,200,3,0.7395,0.3468,1.1282,npy/R2__p121_d200_b3.npy,reprodutivo/R2__p121_d200_b3.png,R2__p121_d200_b3
2023_2024,R2,reprodutivo,122,100,3,0.6911,0.2814,0.8104,npy/R2__p122_d100_b3.npy,reprodutivo/R2__p122_d100_b3.png,R2__p122_d100_b3
2023_2024,R2,reprodutivo,123,0,3,0.6733,0.2559,0.7,npy/R2__p123_d0_b3.npy,reprodutivo/R2__p123_d0_b3.png,R2__p123_d0_b3
