pair,fid,veg,rep,y_meas,y_pred_real,y_pred_synth,l1_img
p127_V13toR2_d300_b4,127,V13,R2,12053.33333333333,10998.14813536077,15455.466564712597,0.10520589351654053
p127_V13toR5_d300_b4,127,V13,R5,16800.0,15102.448753202803,15455.466564712597,0.11138371378183365
p127_V8toR2_d300_b4,127,V8,R2,12053.33333333333,10998.14813536077,16040.019602683222,0.11988389492034912
p127_V8toR5_d300_b4,127,V8,R5,16800.0,15102.448753202803,16040.019602683222,0.11509275436401367
p128_V13toR2_d400_b4,128,V13,R2,11093.33333333333,12232.822027977436,19126.455246886693,0.10401451587677002
p128_V13toR5_d400_b4,128,V13,R5,18186.66666666667,16804.76981244794,19126.455246886693,0.11354407668113708
p128_V8toR2_d400_b4,128,V8,R2,11093.33333333333,12232.822027977436,20493.271457308438,0.10112961381673813
p128_V8toR5_d400_b4,128,V8,R5,18186.66666666667,16804.76981244794,20493.271457308438,0.10967636108398438
p130_V13toR2_d100_b4,130,V13,R2,9226.666666666666,7555.696204375702,18050.868871619132,0.105471171438694
p130_V13toR5_d100_b4,130,V13,R5,12426.66666666667,15389.677310414,18050.868871619132,0.11951284855604172
p130_V8toR2_d100_b4,130,V8,R2,9226.666666666666,7555.696204375702,18251.251155054364,0.11062682420015335
p130_V8toR5_d100_b4,130,V8,R5,12426.66666666667,15389.677310414,18251.251155054364,0.12008154392242432
p131_V13toR2_d50_b4,131,V13,R2,8160.0,7504.684208340517,13812.553115653154,0.10197599977254868
p131_V13toR5_d50_b4,131,V13,R5,13280.0,-10633.638661241206,13812.553115653154,0.11599741131067276
p131_V8toR2_d50_b4,131,V8,R2,8160.0,7504.684208340517,14775.314101741304,0.10353193432092667
p131_V8toR5_d50_b4,131,V8,R5,13280.0,-10633.638661241206,14775.314101741304,0.11994361877441406
p132_V13toR2_d0_b4,132,V13,R2,5226.666666666667,5896.566582201434,11418.511368210971,0.11519559472799301
p132_V13toR5_d0_b4,132,V13,R5,7893.333333333333,5423.111662084942,11418.511368210971,0.12049046158790588
p132_V8toR2_d0_b4,132,V8,R2,5226.666666666667,5896.566582201434,10585.199450680087,0.11740975826978683
p132_V8toR5_d0_b4,132,V8,R5,7893.333333333333,5423.111662084942,10585.199450680087,0.11826013773679733
p133_V13toR2_d200_b4,133,V13,R2,8053.333333333333,9195.597007065437,15816.646948169422,0.11055853217840195
p133_V13toR5_d200_b4,133,V13,R5,22986.66666666667,19385.086468878857,15816.646948169422,0.10871110111474991
p133_V8toR2_d200_b4,133,V8,R2,8053.333333333333,9195.597007065437,20521.7019246142,0.09803726524114609
p133_V8toR5_d200_b4,133,V8,R5,22986.66666666667,19385.086468878857,20521.7019246142,0.10926973819732666
