asset_id,relative_path,season,domain,acquisition_date,stage,sample_id,asset_group,status,quarantine_reason,size_bytes,sha256
placeholder-txt,PLACEHOLDER.txt,,,,,,PLACEHOLDER,usable,,218,0b9623abe1882e539038965ce050a65bdf29577e31bbd189c026728c1a3f392a
quarantine-safra-2023-2024-orthomosaics-rgb-zero-2023-2024-tif,quarantine/safra_2023_2024/orthomosaics/RGB_zero_2023_2024.tif,safra_2023_2024,orthomosaics,,,,quarantine/safra_2023_2024/orthomosaics/RGB_zero_2023_2024,quarantined,GeoTIFF com offset de IFD inválido; tifffile não abre a série.,575668224,458543d0ac7a946ee6a26f71c36b5ff94bf2a644c98de4824ed6ec8a21177079
quarantine-safra-2025-2026-hyperspectral-2025-12-12-19s-bil-hdr,quarantine/safra_2025_2026/hyperspectral/2025-12-12/19S.bil.hdr,safra_2025_2026,hyperspectral,2025-12-12,,19S,quarantine/safra_2025_2026/hyperspectral/2025-12-12/19S,quarantined,Header ENVI órfão; o arquivo .bil correspondente está ausente.,2819,531cb0568946f50fe324b843872a6f548d4405fa5c037b9be6d422abeb9482a3
quarantine-safra-2025-2026-hyperspectral-2025-12-12-20m-bil,quarantine/safra_2025_2026/hyperspectral/2025-12-12/20M.bil,safra_2025_2026,hyperspectral,2025-12-12,,20M,quarantine/safra_2025_2026/hyperspectral/2025-12-12/20M,quarantined,Cubo ENVI sem o header .bil.hdr obrigatório.,270000000,05abc25e65cd0500d200e31fdedba52d08ab76b18914e4d3fd4bd61b2085a938
quarantine-safra-2025-2026-hyperspectral-2025-12-12-5s-bil,quarantine/safra_2025_2026/hyperspectral/2025-12-12/5S.bil,safra_2025_2026,hyperspectral,2025-12-12,,5S,quarantine/safra_2025_2026/hyperspectral/2025-12-12/5S,quarantined,Cubo ENVI sem o header .bil.hdr obrigatório.,270000000,bba184c59ba12cb9ddadaceb094125f97192cf4bb8523969f81e64aba7b3ffcb
raw-safra-2022-2023-design-croqui-experimento-milho-eea-ufrgs-safra-2022-2023-pdf,raw/safra_2022_2023/design/Croqui experimento Milho EEA-UFRGS safra 2022_2023.pdf,safra_2022_2023,design,,,,raw/safra_2022_2023/design/Croqui experimento Milho EEA-UFRGS safra 2022_2023,usable,,139479,550a714ad4ee04f9f9f402343821df7649bd9fa074488254c17b245dfbf71aff
raw-safra-2022-2023-field-tabela-tabulada-dos-dados-xlsx,raw/safra_2022_2023/field/Tabela tabulada dos dados.xlsx,safra_2022_2023,field,,,,raw/safra_2022_2023/field/Tabela tabulada dos dados,usable,,115864,aafe62ee059c1954657658e0fe7a35202231e41535426380bd3d7f26203e3197
raw-safra-2022-2023-field-parametros-2223-normalizado-xlsx,raw/safra_2022_2023/field/parametros_2223_normalizado.xlsx,safra_2022_2023,field,,,,raw/safra_2022_2023/field/parametros_2223_normalizado,usable,,18683,b41bf6ca9cbb6e636a094b334c9bf1a8a8a4b5874fc0d797626be860b328f918
raw-safra-2022-2023-geometry-shape-parcelas-2223-cpg,raw/safra_2022_2023/geometry/Shape_parcelas_2223.cpg,safra_2022_2023,geometry,,,,raw/safra_2022_2023/geometry/Shape_parcelas_2223,usable,,5,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
raw-safra-2022-2023-geometry-shape-parcelas-2223-dbf,raw/safra_2022_2023/geometry/Shape_parcelas_2223.dbf,safra_2022_2023,geometry,,,,raw/safra_2022_2023/geometry/Shape_parcelas_2223,usable,,2610,f6c287f356e9c38912139aa6afe2ef8ed81168c4ed7910045272e7c943f8914e
raw-safra-2022-2023-geometry-shape-parcelas-2223-prj,raw/safra_2022_2023/geometry/Shape_parcelas_2223.prj,safra_2022_2023,geometry,,,,raw/safra_2022_2023/geometry/Shape_parcelas_2223,usable,,421,16894fbc07750e86cb6903f542a5a64bcb7b3500af4c9cf1bbecdeea4a46945c
raw-safra-2022-2023-geometry-shape-parcelas-2223-qmd,raw/safra_2022_2023/geometry/Shape_parcelas_2223.qmd,safra_2022_2023,geometry,,,,raw/safra_2022_2023/geometry/Shape_parcelas_2223,usable,,1051,80aa275551f92f98c382e6e4b63626ade8d6a841a88f0fb58506283e87c9621b
raw-safra-2022-2023-geometry-shape-parcelas-2223-shp,raw/safra_2022_2023/geometry/Shape_parcelas_2223.shp,safra_2022_2023,geometry,,,,raw/safra_2022_2023/geometry/Shape_parcelas_2223,usable,,6628,8263fb80e2e9d4e6ae1393aba836ab42740d340c28e4f9ee91df7c961f666637
raw-safra-2022-2023-geometry-shape-parcelas-2223-shx,raw/safra_2022_2023/geometry/Shape_parcelas_2223.shx,safra_2022_2023,geometry,,,,raw/safra_2022_2023/geometry/Shape_parcelas_2223,usable,,484,05cd5c2ade71d8474e064c39baef82a45234a393e82d64e95a6a3739293712a9
raw-safra-2022-2023-geometry-integrado-shape-2223-integrado-gpkg,raw/safra_2022_2023/geometry/integrado/shape_2223_integrado.gpkg,safra_2022_2023,geometry,,,,raw/safra_2022_2023/geometry/integrado/shape_2223_integrado,usable,,57344,d0f5bcccb7b682e716a9d59657c2a5b7821b401acef82ac87fbfbaedc67dafdb
raw-safra-2022-2023-orthomosaics-rgb-r2-2022-2023-tif,raw/safra_2022_2023/orthomosaics/RGB_R2_2022_2023.tif,safra_2022_2023,orthomosaics,,R2,,raw/safra_2022_2023/orthomosaics/RGB_R2_2022_2023,usable,,909925238,cb4320e441445a9040704b8a7571be191b44a84aae41c70980977c5ae97482b3
raw-safra-2022-2023-orthomosaics-rgb-r5-2022-2023-tif,raw/safra_2022_2023/orthomosaics/RGB_R5_2022_2023.tif,safra_2022_2023,orthomosaics,,R5,,raw/safra_2022_2023/orthomosaics/RGB_R5_2022_2023,usable,,908352342,dc82bd3b337cdc7c2f1d3c87de5905a36c68e9a0c1229893804b70e4808e25a4
raw-safra-2022-2023-orthomosaics-rgb-v11-2022-2023-tif,raw/safra_2022_2023/orthomosaics/RGB_v11_2022_2023.tif,safra_2022_2023,orthomosaics,,V11,,raw/safra_2022_2023/orthomosaics/RGB_v11_2022_2023,usable,,828527870,47ac0bdf69921549b0053bdc647b81f256a0e74e2c03c255cc200af31195fdb2
raw-safra-2022-2023-orthomosaics-rgb-v18-2022-2023-tif,raw/safra_2022_2023/orthomosaics/RGB_v18_2022_2023.tif,safra_2022_2023,orthomosaics,,V18,,raw/safra_2022_2023/orthomosaics/RGB_v18_2022_2023,usable,,799429294,a2bf8a601e550c61b6fb56bebff69eaf4e455674d8b1643113ebadd095c72c5e
raw-safra-2022-2023-orthomosaics-rrenir-r2-2022-2023-tif,raw/safra_2022_2023/orthomosaics/RRENIR_R2_2022_2023.tif,safra_2022_2023,orthomosaics,,R2,,raw/safra_2022_2023/orthomosaics/RRENIR_R2_2022_2023,usable,,908352342,eb3caaad042a37151cdd739615312b9385696c63282a7e9c58ff7147aea59224
raw-safra-2022-2023-orthomosaics-rrenir-r5-2022-2023-tif,raw/safra_2022_2023/orthomosaics/RRENIR_R5_2022_2023.tif,safra_2022_2023,orthomosaics,,R5,,raw/safra_2022_2023/orthomosaics/RRENIR_R5_2022_2023,usable,,925654198,f4a51365c8f112fa8445386c04b86b8b10125ca855a00e4187ace331cc023c64
raw-safra-2022-2023-orthomosaics-rrenir-v11-2022-2023-tif,raw/safra_2022_2023/orthomosaics/RRENIR_v11_2022_2023.tif,safra_2022_2023,orthomosaics,,V11,,raw/safra_2022_2023/orthomosaics/RRENIR_v11_2022_2023,usable,,850548414,6b7d69f911995c5603671c23bf0aeffbba4df265ca0cec1a8c800403a983e293
raw-safra-2022-2023-orthomosaics-rrenir-v18-2022-2023-tif,raw/safra_2022_2023/orthomosaics/RRENIR_v18_2022_2023.tif,safra_2022_2023,orthomosaics,,V18,,raw/safra_2022_2023/orthomosaics/RRENIR_v18_2022_2023,usable,,882399558,3213ffd4dd6cdb3729054ea4c881cfd3351390958b7258e6bd7c7af397d46d5b
raw-safra-2022-2023-orthomosaics-rrenir-v8-2022-2023-tif,raw/safra_2022_2023/orthomosaics/RRENIR_v8_2022_2023.tif,safra_2022_2023,orthomosaics,,V8,,raw/safra_2022_2023/orthomosaics/RRENIR_v8_2022_2023,usable,,869816390,62cbc5f2941dd69d4241af418fbe6ea2da37b5fc113878fc346270406b45d1d1
raw-safra-2022-2023-orthomosaics-rgb-v8-2022-2023-tif,raw/safra_2022_2023/orthomosaics/rgb_v8_2022_2023.tif,safra_2022_2023,orthomosaics,,V8,,raw/safra_2022_2023/orthomosaics/rgb_v8_2022_2023,usable,,2159045804,bcf503c8ad1aadfc5abf0d9e136236ed0eb845956233396f1f79f9776fcde2be
raw-safra-2022-2023-orthomosaics-rgb-zero-2022-2023-tif,raw/safra_2022_2023/orthomosaics/rgb_zero_2022_2023.tif,safra_2022_2023,orthomosaics,,,,raw/safra_2022_2023/orthomosaics/rgb_zero_2022_2023,usable,,1371598724,49ff2b5d8327a4d83d2ef4bb2d59148158e8651ebc5937b7a665de7c0f5e1d15
raw-safra-2023-2024-design-croqui-milho-23-24-eea-ufrgs-xlsx,raw/safra_2023_2024/design/Croqui Milho 23-24 EEA-UFRGS.xlsx,safra_2023_2024,design,,,,raw/safra_2023_2024/design/Croqui Milho 23-24 EEA-UFRGS,usable,,20480,7829bb98a833b80153961fb070dafe89ea2a80f59d71aefff6fb747e01747157
raw-safra-2023-2024-field-tabela-milho-2023-2024-xlsx,raw/safra_2023_2024/field/Tabela_milho_2023_2024.xlsx,safra_2023_2024,field,,,,raw/safra_2023_2024/field/Tabela_milho_2023_2024,usable,,117163,3110d7ab018a85ebbcb9f6bb235b56e0fb03bf5b3ea4e6aeaabb2e7eb06b5ef0
raw-safra-2023-2024-field-parametros-2324-normalizado-xlsx,raw/safra_2023_2024/field/parametros_2324_normalizado.xlsx,safra_2023_2024,field,,,,raw/safra_2023_2024/field/parametros_2324_normalizado,usable,,20003,52787667bc466576dd8a381db6d636af9064c3171fe1eb6c1b9b8f5be27b4544
raw-safra-2023-2024-geometry-shape-parcelas23-24-cpg,raw/safra_2023_2024/geometry/Shape_parcelas23_24.cpg,safra_2023_2024,geometry,,,,raw/safra_2023_2024/geometry/Shape_parcelas23_24,usable,,5,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
raw-safra-2023-2024-geometry-shape-parcelas23-24-dbf,raw/safra_2023_2024/geometry/Shape_parcelas23_24.dbf,safra_2023_2024,geometry,,,,raw/safra_2023_2024/geometry/Shape_parcelas23_24,usable,,6970,c3c37c351d999f470ad1fe7201312a9c13b2486786035f22aa8b101e7cddbc3e
raw-safra-2023-2024-geometry-shape-parcelas23-24-prj,raw/safra_2023_2024/geometry/Shape_parcelas23_24.prj,safra_2023_2024,geometry,,,,raw/safra_2023_2024/geometry/Shape_parcelas23_24,usable,,418,a3d1b490a699db5cddf330374056fb77fa8a80a8b70cde74421fd12281d8be00
raw-safra-2023-2024-geometry-shape-parcelas23-24-qmd,raw/safra_2023_2024/geometry/Shape_parcelas23_24.qmd,safra_2023_2024,geometry,,,,raw/safra_2023_2024/geometry/Shape_parcelas23_24,usable,,3640,247d32c63fd66b46b3b60fea3c1a90965710a18e33b396da3009e7ca16abb9ca
raw-safra-2023-2024-geometry-shape-parcelas23-24-shp,raw/safra_2023_2024/geometry/Shape_parcelas23_24.shp,safra_2023_2024,geometry,,,,raw/safra_2023_2024/geometry/Shape_parcelas23_24,usable,,3364,f671ce6f92805c3d6464b0a492b97c634a3bac7515d41f3a3d794c8fd1251ceb
raw-safra-2023-2024-geometry-shape-parcelas23-24-shx,raw/safra_2023_2024/geometry/Shape_parcelas23_24.shx,safra_2023_2024,geometry,,,,raw/safra_2023_2024/geometry/Shape_parcelas23_24,usable,,292,e62b9c2bed775d663e7f60e76d10e51b92fd241be47dd845b057fbb7189a8072
raw-safra-2023-2024-geometry-integrado-shape-2324-integrado-gpkg,raw/safra_2023_2024/geometry/integrado/shape_2324_integrado.gpkg,safra_2023_2024,geometry,,,,raw/safra_2023_2024/geometry/integrado/shape_2324_integrado,usable,,57344,7808f55797035f53407b8f66067d21744e2fbf5601561cd7c8e9cdee8c76a6a3
raw-safra-2023-2024-orthomosaics-rrenir-r2-2023-2024-tif,raw/safra_2023_2024/orthomosaics/RRENIR_R2_2023_2024.tif,safra_2023_2024,orthomosaics,,R2,,raw/safra_2023_2024/orthomosaics/RRENIR_R2_2023_2024,usable,,167517624,f26e6454edd582e97c932865d230e31f40c241129feef58b927f250b3ee8f36b
raw-safra-2023-2024-orthomosaics-rrenir-r5-2023-2024-tif,raw/safra_2023_2024/orthomosaics/RRENIR_R5_2023_2024.tif,safra_2023_2024,orthomosaics,,R5,,raw/safra_2023_2024/orthomosaics/RRENIR_R5_2023_2024,usable,,167517624,6d05d78a4fc38e19ea2a3fa0f884feda6175d0e3882798225d261e67e62ebb9b
raw-safra-2023-2024-orthomosaics-rrenir-v13-2023-2024-tif,raw/safra_2023_2024/orthomosaics/RRENIR_v13_2023_2024.tif,safra_2023_2024,orthomosaics,,V13,,raw/safra_2023_2024/orthomosaics/RRENIR_v13_2023_2024,usable,,167517624,be6e9ae368b18c3d8e36fc956c7eabfa55be7aebb7f7dbd808e8e29760b791b0
raw-safra-2023-2024-orthomosaics-rrenir-v6-2023-2024-tif,raw/safra_2023_2024/orthomosaics/RRENIR_v6_2023_2024.tif,safra_2023_2024,orthomosaics,,V6,,raw/safra_2023_2024/orthomosaics/RRENIR_v6_2023_2024,usable,,167517624,fda6863e4c53b583856e7dd6b03f244040c2f0bce861632c199dd799c8e32aab
